iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
226	0.9251607079	1.081021511	0.6072961373	0	0.126984127	0.6428571429	0.6702775897	0.4552429668	0
227	0.9253283099	1.079903357	0.6072961373	0	0.126984127	0.6445264453	0.6698305085	0.4540816327	0
228	0.9256074428	1.078889363	0.6065808298	0	0.126984127	0.6445264453	0.6689280868	0.4529262087	0
229	0.925577767	1.078047514	0.6051502146	0	0.126984127	0.6428571429	0.6680216802	0.4489795918	0
230	0.9258411261	1.077028341	0.6051502146	0	0.126984127	0.6428571429	0.6680216802	0.4489795918	0
231	0.926239539	1.075972527	0.6058655222	0	0.126984127	0.6445264453	0.6689280868	0.4478371501	0
232	0.9261799088	1.075058588	0.6065808298	0	0.15625	0.6445264453	0.6693822132	0.4478371501	0
233	0.9263274875	1.074041411	0.6058655222	0	0.15625	0.6437346437	0.6689326988	0.4467005076	0
234	0.9270041592	1.073079639	0.6072961373	0	0.15625	0.6469864699	0.6698369565	0.4467005076	0
235	0.9272838658	1.072125923	0.6080114449	0	0.15625	0.6469864699	0.6707399864	0.4478371501	0
236	0.9270117156	1.071210011	0.6072961373	0	0.15625	0.6469864699	0.6698369565	0.4467005076	0
237	0.9270762492	1.070409044	0.6072961373	0	0.15625	0.6469864699	0.6698369565	0.4467005076	0
238	0.9273031071	1.06951023	0.6072961373	0	0.15625	0.6461916462	0.6702923182	0.4467005076	0
239	0.9278507559	1.068585255	0.6072961373	0	0.15625	0.6461916462	0.6702923182	0.4467005076	0
240	0.9280858987	1.067578399	0.6072961373	0	0.15625	0.6461916462	0.6702923182	0.4467005076	0
241	0.9282879265	1.066741066	0.6080114449	0	0.15625	0.6478527607	0.6707482993	0.4467005076	0
242	0.9285257785	1.065673087	0.6080114449	0	0.15625	0.6478527607	0.6707482993	0.4467005076	0
243	0.9287201137	1.064792426	0.6072961373	0	0.15625	0.6461916462	0.6698434309	0.4494949495	0
244	0.9289186262	1.063889004	0.6080114449	0	0.15625	0.6461916462	0.6707482993	0.4506329114	0
245	0.9291971505	1.062988467	0.6087267525	0	0.15625	0.6461916462	0.6712049013	0.4545454545	0
246	0.9293076745	1.06212897	0.6080114449	0	0.15625	0.6461916462	0.6707482993	0.4506329114	0
247	0.9293049119	1.061262757	0.6072961373	0	0.15625	0.6478527607	0.6698434309	0.4455696203	0
248	0.9293295139	1.060475277	0.6072961373	0	0.15625	0.6461916462	0.6702923182	0.4467005076	0
249	0.9294944673	1.059675344	0.6087267525	0	0.15625	0.6461916462	0.6712049013	0.4545454545	0
250	0.9296059681	1.058761894	0.6080114449	0	0.15625	0.6461916462	0.6707482993	0.4506329114	0
251	0.9303666839	1.057691705	0.6094420601	0	0.15625	0.6478527607	0.6721199727	0.4534005038	0
252	0.9305562279	1.0568463	0.6094420601	0	0.15625	0.6478527607	0.6721199727	0.4534005038	0
253	0.9307297912	1.056093592	0.6094420601	0	0.15625	0.6478527607	0.6721199727	0.4534005038	0
254	0.9305054021	1.055488114	0.6094420601	0	0.15625	0.6478527607	0.6721199727	0.4534005038	0
255	0.930888445	1.054426744	0.6108726753	0	0.15625	0.6495098039	0.6734832993	0.4545454545	0
256	0.9310574779	1.053617506	0.6108726753	0	0.15625	0.6495098039	0.6734832993	0.4545454545	0
257	0.9316284437	1.052789418	0.6101573677	0	0.15625	0.6478527607	0.6730245232	0.4545454545	0
258	0.9315254414	1.051854833	0.6115879828	0	0.15625	0.6511627907	0.6739427012	0.4545454545	0
259	0.9319612498	1.050906096	0.6123032904	0	0.15625	0.6511627907	0.6744027304	0.4584382872	0
260	0.9324140451	1.050167726	0.6108726753	0	0.15625	0.6495098039	0.6734832993	0.4545454545	0
261	0.9328119493	1.049289818	0.6123032904	0	0.15625	0.6511627907	0.6744027304	0.4584382872	0
262	0.9327072412	1.048499734	0.6137339056	0	0.15625	0.6511627907	0.6757679181	0.4634760705	0
263	0.9330917532	1.0478475	0.6137339056	0	0.15625	0.6511627907	0.6757679181	0.4634760705	0
264	0.9335357261	1.046973542	0.6144492132	0	0.15625	0.6511627907	0.6762295082	0.4673366834	0
265	0.9333323823	1.046168611	0.6144492132	0	0.15625	0.6511627907	0.6762295082	0.4673366834	0
266	0.933832304	1.045392989	0.6144492132	0	0.15625	0.6511627907	0.6757679181	0.4685138539	0
